"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
2584, 2.364608824436538e-02, 1.058534641345239e-03, 1.581224649046997e+00, 1.194880087441156e-02, 1.592408490275285e-12, 2.881301806305382e+01, -8.958787476524632e+00, -1.122750558768697e+05, 3.677459020444674e-04
2585, 3.146500473964314e-02, 2.889397805208083e-03, 1.537365407599015e+00, 1.161737083828057e-02, 1.548367701897741e-12, 3.892241355736966e+01, 4.041905008694122e-01, -1.086248346174220e+05, 3.575485202490058e-04
2586, 4.415928226921920e-02, 9.935429549151988e-04, 1.756891654412556e-01, 1.327625935324415e-03, 1.769687337188743e-13, 3.548216331262414e+01, 1.246412100188450e+00, 1.361238814390464e+05, 2.115281590198291e+02
2587, 3.037146773784996e-02, 1.569750187246526e-03, 1.569790088673719e+00, 1.186239361718261e-02, 1.581022637458926e-12, 7.011750703711209e+01, -7.527617280517171e-01, -1.134483612969214e+05, 3.650891420124155e-04
2588, 3.787240172783417e-02, 1.358399725621675e-03, 4.237793531429444e-01, 3.202362870098007e-03, 4.268719797119556e-13, 4.659742116647744e+01, 1.481014517093537e+00, 9.708876076781774e+04, 4.458971209294083e-01
2589, 5.234623627287609e-02, 1.306414157645423e-03, 1.107401820670040e-01, 8.368275722947896e-04, 1.115759581574530e-13, 1.699831504969094e+01, 1.224305876110490e+00, 1.464062704523696e+05, 2.364818435732263e+03
2590, 5.471650785795744e-02, 1.148020686450639e-03, 1.022136287047591e-01, 7.723951791291234e-04, 1.030334526856088e-13, 1.309573217653853e+01, 1.036166928609476e+00, 1.482722607503135e+05, 3.230791928348285e+03
2591, 4.750154805759792e-02, 1.212088103670684e-03, 1.383884445955084e-01, 1.045756508278456e-03, 1.393940632984451e-13, 2.644638963266064e+01, 1.506879522250329e+00, 1.415114973614367e+05, 7.967898533849325e+02
2592, 3.623804992154525e-02, 1.000501896791802e-03, 6.993213439895667e-01, 5.284544161130509e-03, 7.044211561258743e-13, 4.600541775630160e+01, 2.058207598326063e+00, 4.885984834628981e+04, 2.928622304174094e-03
2593, 5.128983600143334e-02, 1.137053601622855e-03, 1.146946840246366e-01, 8.667104586244774e-04, 1.155762410307887e-13, 1.931761423355521e+01, 1.199844123533729e+00, 1.456684391313214e+05, 1.999824297450631e+03
2594, 4.224175528047006e-02, 1.007603001255896e-03, 2.111842246480301e-01, 1.595850564091048e-03, 2.126825164281339e-13, 4.001940048737642e+01, 1.311071148631939e+00, 1.309543211250605e+05, 6.924399114439944e+01
2595, 4.129335512522169e-02, 1.787805519431929e-03, 2.340830135227707e-01, 1.768889270953079e-03, 2.357555103863611e-13, 3.862093230552835e+01, 2.458964631822926e+00, 1.273879747457120e+05, 3.717148484265070e+01
2596, 3.968782076436304e-02, 1.157519645750535e-03, 2.958049063421442e-01, 2.235301559260820e-03, 2.978523071268561e-13, 4.534128179887363e+01, 1.443460397931907e+00, 1.180688479008884e+05, 7.140730299465766e+00
2597, 3.308981524669358e-02, 1.672521071339279e-03, 1.562114732356862e+00, 1.180439344350364e-02, 1.573267600577300e-12, 6.273513588244931e+01, 3.796347954831816e-02, -1.130108507258364e+05, 3.633028226669611e-04
2598, 3.044160148579356e-02, 1.319568112669339e-03, 1.571479560617357e+00, 1.187516040768869e-02, 1.582721568616845e-12, 7.482440703114251e+01, -9.462540688697773e-01, -1.134886098484710e+05, 3.654818959113887e-04
2599, 2.203522193842737e-02, 1.374336549358774e-03, 1.570223896035617e+00, 1.186567175845631e-02, 1.581505963719938e-12, 6.886474697721255e+00, -8.219170222007600e+00, -1.107108041280885e+05, 3.651898109098264e-04
2600, 5.805859464651071e-02, 9.867912004260450e-04, 9.521339590479305e-02, 7.194966944946135e-04, 9.594398433978854e-14, 7.673246846074700e+00, 9.748045838413538e-01, 1.501167394975030e+05, 4.050244676269834e+03
2601, 3.632139643942237e-02, 1.596824879101020e-03, 7.058725268576893e-01, 5.334049321343173e-03, 7.107983674617774e-13, 4.095377043659026e+01, 2.891041603801920e+00, 4.712573228848873e+04, 4.620668370855884e-03
2602, 1.568479137791079e-02, 5.294117953273299e-03, 1.736879355063564e+00, 1.312503290980103e-02, 1.749274377733275e-12, 3.927461512016224e+01, -7.257148105541929e+00, -1.231441419197263e+05, 4.039496380355479e-04
2603, 2.840038193951698e-02, 1.206581406130367e-03, 1.581095132613533e+00, 1.194782216080845e-02, 1.592378082572534e-12, 6.837535470490103e+01, -4.854402281683684e+00, -1.138846443256722e+05, 3.677204031308869e-04
2604, 2.871638210523875e-02, 1.150388234402013e-03, 1.580139592122434e+00, 1.194060145180769e-02, 1.591427643564308e-12, 7.114470504245297e+01, -5.245217420172617e+00, -1.138178332960045e+05, 3.674974874172077e-04
2605, 1.767292302478294e-02, 4.838030266445763e-03, 1.687143843514692e+00, 1.274919780993548e-02, 1.699198206172600e-12, 5.534907102641644e+01, -9.847630784952431e+00, -1.202494499672041e+05, 3.923819266079311e-04
2606, 2.302276469113451e-02, 4.086886353113455e-03, 1.572369398286847e+00, 1.188188462181580e-02, 1.583598823153572e-12, 2.111683679495347e+01, -5.114529716642571e+00, -1.107755261128479e+05, 3.656885618740263e-04
2607, 2.808618014082875e-02, 3.461673617032080e-03, 1.551536519777119e+00, 1.172445732829159e-02, 1.562526344493299e-12, 1.254233442761999e+01, -2.162930123252727e+00, -1.091859994419780e+05, 3.608435861731983e-04
2608, 5.343834503971796e-02, 1.302921596920246e-03, 1.069547101976878e-01, 8.082219914181753e-04, 1.078882990341286e-13, 1.502076804130765e+01, 1.279411425224195e+00, 1.472666990573255e+05, 2.753005270840072e+03
2609, 5.332726858960558e-02, 1.138409410588853e-03, 1.066282534668564e-01, 8.057550639811910e-04, 1.075406577260108e-13, 1.561551195603734e+01, 1.116654595169023e+00, 1.473779387195510e+05, 2.743939159716216e+03
2610, 5.593397196505005e-02, 4.711875433361109e-03, 2.746726317597407e-01, 2.075611826903796e-03, 2.735815497206521e-13, 5.808328195817614e+00, 1.240774502051700e+01, 1.165173118840555e+05, 1.815478592967876e+03
2611, 5.711698051261410e-02, 1.192247886994422e-03, 9.705388578009015e-02, 7.334046784389635e-04, 9.777883776262033e-14, 9.086593746757270e+00, 1.041499789786777e+00, 1.495952181516417e+05, 3.875888544588857e+03
2612, 5.737633662724957e-02, 1.132441158190093e-03, 9.644359997104263e-02, 7.287929468843884e-04, 9.720442728034396e-14, 8.754664314210000e+00, 1.058647285077319e+00, 1.497675500310400e+05, 3.935017803923777e+03
2613, 1.686690816569781e-02, 4.262439976738654e-03, 1.699106325863123e+00, 1.283959440198905e-02, 1.711296951524633e-12, 3.997592270495650e+01, -1.484835920410059e+00, -1.199951792096780e+05, 3.951646305882392e-04
2614, 5.197943485686547e-02, 4.585544679890279e-03, 3.108469322352175e-01, 2.348969261222950e-03, 3.134830162204143e-13, 8.155969080305081e+00, 1.422868682742937e+01, 1.095254438539575e+05, 9.442133159022917e+02
2615, 5.224898771301258e-02, 4.570801511391188e-03, 2.983477307269077e-01, 2.254516856879468e-03, 2.998754382740107e-13, 8.261674922252528e+00, 1.368814161502329e+01, 1.114223024075055e+05, 1.016685681016629e+03
2616, 5.115663759646943e-02, 1.341222982821172e-03, 1.160233392774620e-01, 8.767506746407757e-04, 1.169261217857614e-13, 1.903553690845460e+01, 1.359162487640998e+00, 1.453029017369763e+05, 1.925456647077480e+03
2617, 3.813357449031869e-02, 1.377682536572472e-03, 3.966522994033534e-01, 2.997372539571844e-03, 3.997586201674652e-13, 4.649018746429159e+01, 1.354685693764124e+00, 1.014415496848336e+05, 7.730912350605537e-01
2618, 2.700973122122421e-02, 9.524882802879647e-04, 1.581751839029943e+00, 1.195278467780909e-02, 1.592990524281675e-12, 6.129693865533576e+01, -3.688085025868661e+00, -1.132607588405551e+05, 3.678653902990248e-04
2619, 1.596411376761683e-02, 4.231279979277369e-03, 1.719506545921863e+00, 1.299375223618610e-02, 1.731827360195291e-12, 2.716678576594770e+01, 1.852105526893477e-02, -1.210247710533647e+05, 3.999094277592429e-04
2620, 3.341601079268128e-02, 9.295269490729283e-04, 1.563482790155390e+00, 1.181473141175450e-02, 1.574640732239090e-12, 7.918741642989917e+01, 1.190947438400239e+00, -1.125454978581743e+05, 3.636200367730896e-04
2621, 3.471499018938395e-02, 1.366712046355893e-03, 1.580232919460511e+00, 1.194130669617619e-02, 1.591368564451164e-12, 6.497789975360122e+01, 1.163834588052849e+01, -1.186569433892197e+05, 3.675645503006321e-04
2622, 2.277182284617171e-02, 4.116656539848173e-03, 1.574401104385275e+00, 1.189723756462512e-02, 1.585604147873283e-12, 2.190632258883491e+01, -5.722534712020351e+00, -1.109953137791500e+05, 3.661610807493810e-04
2623, 2.377591488057328e-02, 3.431040822645954e-03, 1.585949958510751e+00, 1.198450850260094e-02, 1.597291018704212e-12, 3.331512175058177e+01, -9.817626108467650e+00, -1.134038454301899e+05, 3.688450428063565e-04
2624, 2.174712445303202e-02, 1.924194017844557e-03, 1.572966505989653e+00, 1.188639677070335e-02, 1.584324782285015e-12, 1.181014570093262e+01, -1.255813817903632e+01, -1.110943953721680e+05, 3.658274257745894e-04
2625, 2.178515942054420e-02, 1.750155894041950e-03, 1.570837743016090e+00, 1.187031040062610e-02, 1.582151129020185e-12, 8.046054069524331e+00, -9.639093302295020e+00, -1.108385556366014e+05, 3.653325882652385e-04
